Model,mAP50-95,Latency_ms_im,FPS
YOLO11n,0.714,2.68,373.0
YOLOv10n,0.713,2.27,441.29
YOLOv5u,0.706,2.52,395.94
YOLOv8n,0.709,2.63,379.68
GhostYOLO,0.69,3.0,333.04
