epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,2377.66,1.10671,0.5479,1.1211,0.97884,0.93924,0.97175,0.67676,1.1282,0.47034,1.08209,0.008581,0.008581,0.008581
45,2431.58,1.11187,0.55373,1.11809,0.98036,0.93833,0.96794,0.6801,1.14589,0.45776,1.08119,0.008548,0.008548,0.008548
46,2485.53,1.11088,0.54647,1.11854,0.98465,0.93802,0.97412,0.68187,1.12065,0.44272,1.07632,0.008515,0.008515,0.008515
47,2539.44,1.10252,0.54398,1.11962,0.98243,0.93148,0.96677,0.67749,1.11891,0.45405,1.07409,0.008482,0.008482,0.008482
48,2593.26,1.0967,0.53675,1.10969,0.98114,0.94198,0.97119,0.67824,1.1254,0.45357,1.06789,0.008449,0.008449,0.008449
49,2647.19,1.09161,0.53231,1.1064,0.98489,0.93787,0.96654,0.67065,1.11994,0.44968,1.06898,0.008416,0.008416,0.008416
50,2701.06,1.09842,0.54583,1.11516,0.9875,0.93862,0.96726,0.68413,1.10428,0.44728,1.06966,0.008383,0.008383,0.008383
51,2754.98,1.07913,0.52788,1.10555,0.98237,0.94209,0.97253,0.68352,1.12289,0.43846,1.07388,0.00835,0.00835,0.00835
52,2808.96,1.09188,0.53566,1.10709,0.97958,0.94227,0.96765,0.68055,1.1332,0.44067,1.07133,0.008317,0.008317,0.008317
53,2862.82,1.08786,0.52855,1.10745,0.98891,0.93702,0.96962,0.68552,1.09903,0.43536,1.05931,0.008284,0.008284,0.008284
54,2916.72,1.08636,0.52804,1.10224,0.98241,0.944,0.96954,0.6853,1.09527,0.44051,1.0595,0.008251,0.008251,0.008251
55,2970.51,1.08851,0.52777,1.11118,0.98343,0.93833,0.97036,0.69053,1.08609,0.43118,1.05444,0.008218,0.008218,0.008218
56,3024.4,1.08673,0.53206,1.10634,0.98639,0.94153,0.97289,0.69589,1.08321,0.43014,1.05255,0.008185,0.008185,0.008185
57,3078.39,1.08264,0.52412,1.10134,0.9866,0.94213,0.97334,0.68883,1.09676,0.42422,1.05767,0.008152,0.008152,0.008152
58,3132.36,1.08109,0.52186,1.1056,0.9833,0.94107,0.97062,0.68333,1.11893,0.42739,1.06525,0.008119,0.008119,0.008119
59,3186.31,1.08198,0.51492,1.10359,0.9829,0.94525,0.97121,0.69598,1.09768,0.42268,1.04992,0.008086,0.008086,0.008086
60,3240.24,1.08571,0.52057,1.10195,0.98295,0.94811,0.97139,0.69317,1.10493,0.42362,1.05605,0.008053,0.008053,0.008053
61,3294.18,1.07049,0.51679,1.0953,0.97933,0.94746,0.97091,0.69152,1.10298,0.42149,1.05569,0.00802,0.00802,0.00802
62,3348.09,1.07575,0.51233,1.09207,0.98248,0.94153,0.96926,0.68532,1.11809,0.41858,1.05535,0.007987,0.007987,0.007987
63,3402.05,1.07875,0.51783,1.10244,0.98087,0.94153,0.97135,0.69212,1.08647,0.42406,1.05458,0.007954,0.007954,0.007954
64,3456.07,1.07441,0.51414,1.10425,0.98362,0.94335,0.97152,0.6928,1.09151,0.41304,1.04909,0.007921,0.007921,0.007921
65,3509.99,1.07434,0.51619,1.09665,0.9857,0.94468,0.97108,0.6936,1.09524,0.41303,1.05078,0.007888,0.007888,0.007888
66,3563.98,1.07371,0.51037,1.09444,0.98573,0.94637,0.97396,0.69919,1.08395,0.41093,1.04695,0.007855,0.007855,0.007855
67,3617.98,1.07651,0.51283,1.10064,0.98776,0.94564,0.97481,0.69837,1.08496,0.41711,1.04702,0.007822,0.007822,0.007822
68,3672,1.07275,0.51269,1.09449,0.98422,0.94609,0.97352,0.69371,1.0967,0.41168,1.04872,0.007789,0.007789,0.007789
69,3725.99,1.06698,0.50444,1.09035,0.98163,0.95213,0.97508,0.69435,1.10238,0.40863,1.05136,0.007756,0.007756,0.007756
