epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3169.33,1.10818,0.56307,1.09957,0.98245,0.93422,0.96626,0.65396,1.17881,0.48835,1.10607,0.008614,0.008614,0.008614
44,3243.29,1.10047,0.55652,1.1044,0.97925,0.92713,0.96373,0.65244,1.18497,0.4914,1.09451,0.008581,0.008581,0.008581
45,3317.41,1.11798,0.56213,1.11108,0.97933,0.93085,0.96784,0.66976,1.12631,0.48482,1.07632,0.008548,0.008548,0.008548
46,3392.05,1.10418,0.55421,1.10238,0.97755,0.93505,0.96567,0.67701,1.12074,0.47667,1.07437,0.008515,0.008515,0.008515
47,3466.53,1.093,0.55872,1.10659,0.98197,0.93467,0.96879,0.67371,1.11855,0.46685,1.07361,0.008482,0.008482,0.008482
48,3541.37,1.09209,0.54544,1.10537,0.98258,0.92761,0.9657,0.66173,1.15287,0.4816,1.09065,0.008449,0.008449,0.008449
49,3616.83,1.10071,0.55679,1.11019,0.98314,0.93261,0.9642,0.64383,1.18512,0.48591,1.09939,0.008416,0.008416,0.008416
50,3691.17,1.11588,0.5545,1.10713,0.9789,0.93269,0.96445,0.65747,1.16766,0.48308,1.09604,0.008383,0.008383,0.008383
51,3764.76,1.10614,0.55372,1.10738,0.98842,0.93467,0.96991,0.67926,1.10315,0.46355,1.06635,0.00835,0.00835,0.00835
52,3839.34,1.10234,0.55017,1.10175,0.98143,0.94173,0.96693,0.67025,1.13953,0.45543,1.07288,0.008317,0.008317,0.008317
53,3913.87,1.08822,0.54303,1.10488,0.9794,0.93398,0.96871,0.67401,1.14125,0.4615,1.08193,0.008284,0.008284,0.008284
54,3988.52,1.09841,0.54228,1.11031,0.98186,0.93961,0.96681,0.66584,1.16327,0.47158,1.09589,0.008251,0.008251,0.008251
55,4061.89,1.11194,0.55423,1.11785,0.97891,0.93295,0.96631,0.67223,1.13235,0.46127,1.07737,0.008218,0.008218,0.008218
56,4135.37,1.10041,0.54392,1.09566,0.97601,0.93787,0.96509,0.66392,1.16973,0.46061,1.08908,0.008185,0.008185,0.008185
57,4210.11,1.09304,0.54008,1.10236,0.98095,0.94073,0.97016,0.66291,1.16848,0.46075,1.08819,0.008152,0.008152,0.008152
58,4284.73,1.09004,0.54342,1.10175,0.98,0.94023,0.97046,0.68278,1.1156,0.45979,1.07164,0.008119,0.008119,0.008119
59,4359.18,1.08831,0.53738,1.10216,0.97965,0.93741,0.96682,0.66957,1.14453,0.45332,1.07969,0.008086,0.008086,0.008086
60,4433.44,1.08022,0.5288,1.09295,0.9848,0.93604,0.97222,0.67834,1.12607,0.45141,1.07708,0.008053,0.008053,0.008053
61,4507.45,1.07734,0.5205,1.09576,0.97948,0.93467,0.96777,0.68319,1.1307,0.44898,1.07146,0.00802,0.00802,0.00802
62,4580.88,1.07586,0.52475,1.09767,0.9826,0.93787,0.96749,0.66418,1.16641,0.45515,1.08781,0.007987,0.007987,0.007987
63,4654.7,1.06865,0.52169,1.09327,0.97963,0.9429,0.97033,0.67863,1.11987,0.44106,1.06904,0.007954,0.007954,0.007954
64,4728.36,1.08838,0.53634,1.10257,0.98265,0.93741,0.97133,0.67231,1.15219,0.4448,1.07711,0.007921,0.007921,0.007921
65,4801.71,1.09748,0.53282,1.09552,0.97961,0.94016,0.9706,0.68407,1.11761,0.44137,1.06636,0.007888,0.007888,0.007888
66,4876.49,1.07913,0.52528,1.09575,0.9814,0.94016,0.97035,0.67811,1.13578,0.44453,1.07652,0.007855,0.007855,0.007855
67,4950.82,1.07306,0.52195,1.09434,0.98626,0.93878,0.97124,0.68333,1.12267,0.43445,1.07005,0.007822,0.007822,0.007822
68,5024.22,1.07177,0.52529,1.09285,0.98423,0.94074,0.97177,0.67993,1.14011,0.43624,1.07651,0.007789,0.007789,0.007789
69,5098.58,1.07753,0.52377,1.09311,0.98393,0.94061,0.96965,0.68494,1.11851,0.43856,1.06567,0.007756,0.007756,0.007756
70,5172.12,1.07958,0.52483,1.09251,0.98027,0.94244,0.9715,0.68372,1.10893,0.44413,1.067,0.007723,0.007723,0.007723
71,5246,1.06381,0.53086,1.09048,0.98292,0.94635,0.97368,0.68232,1.12207,0.43429,1.07014,0.00769,0.00769,0.00769
72,5319.86,1.06988,0.51784,1.09541,0.98635,0.9397,0.9738,0.6888,1.10016,0.43778,1.06489,0.007657,0.007657,0.007657
73,5392.81,1.07978,0.52535,1.09955,0.981,0.94564,0.96951,0.68327,1.11991,0.42528,1.06721,0.007624,0.007624,0.007624
74,5466.24,1.07434,0.52804,1.09467,0.98706,0.9406,0.97157,0.68386,1.11547,0.42674,1.06272,0.007591,0.007591,0.007591
75,5540.05,1.04969,0.51633,1.08284,0.98161,0.94153,0.97147,0.68532,1.10155,0.42888,1.06129,0.007558,0.007558,0.007558
76,5613.12,1.06623,0.52314,1.09071,0.98514,0.9389,0.97427,0.69228,1.09102,0.43284,1.06121,0.007525,0.007525,0.007525
77,5686.62,1.06555,0.51589,1.08926,0.98149,0.94479,0.97503,0.69433,1.09878,0.42645,1.0595,0.007492,0.007492,0.007492
78,5760.54,1.06215,0.5132,1.08659,0.98657,0.93967,0.97345,0.68705,1.11693,0.42141,1.06174,0.007459,0.007459,0.007459
79,5833.58,1.07357,0.51363,1.09029,0.98627,0.94061,0.97372,0.68592,1.11021,0.42048,1.05982,0.007426,0.007426,0.007426
80,5906.34,1.06253,0.51085,1.08665,0.98804,0.94244,0.97564,0.68604,1.11429,0.41973,1.06537,0.007393,0.007393,0.007393
81,5980.67,1.04982,0.50503,1.08642,0.98659,0.94082,0.97159,0.69117,1.10054,0.42247,1.05986,0.00736,0.00736,0.00736
82,6054.08,1.0732,0.51649,1.09266,0.9789,0.94792,0.9726,0.68799,1.11164,0.42518,1.06487,0.007327,0.007327,0.007327
83,6127.44,1.05883,0.50415,1.08053,0.97927,0.94967,0.97339,0.69832,1.0801,0.41521,1.05297,0.007294,0.007294,0.007294
84,6201.9,1.05702,0.51193,1.09759,0.9827,0.94564,0.97072,0.69168,1.10189,0.42052,1.05965,0.007261,0.007261,0.007261
85,6275.93,1.0511,0.51055,1.07963,0.98099,0.94746,0.97377,0.69733,1.08764,0.41351,1.05451,0.007228,0.007228,0.007228
86,6349.23,1.04961,0.50679,1.08681,0.98173,0.94975,0.97476,0.69615,1.08806,0.40846,1.05423,0.007195,0.007195,0.007195
87,6422.47,1.0425,0.50272,1.08469,0.98512,0.94107,0.9729,0.69141,1.09517,0.41343,1.05821,0.007162,0.007162,0.007162
88,6496.43,1.05646,0.50529,1.07935,0.98259,0.94107,0.97342,0.694,1.10553,0.41401,1.0578,0.007129,0.007129,0.007129
89,6570.91,1.0503,0.50051,1.07897,0.9824,0.94368,0.97569,0.69933,1.08905,0.41335,1.05496,0.007096,0.007096,0.007096
90,6645.34,1.04485,0.49594,1.07835,0.98145,0.94564,0.97588,0.69605,1.09156,0.41414,1.05399,0.007063,0.007063,0.007063
91,6719.23,1.05264,0.49973,1.08338,0.98573,0.94692,0.97679,0.69814,1.09174,0.41254,1.05752,0.00703,0.00703,0.00703
92,6793.43,1.0583,0.50103,1.0845,0.98571,0.94538,0.97638,0.6949,1.09993,0.40994,1.06075,0.006997,0.006997,0.006997
93,6868.09,1.05333,0.50431,1.08216,0.98617,0.94447,0.97588,0.69872,1.08896,0.40806,1.05528,0.006964,0.006964,0.006964
94,6941.82,1.05486,0.50633,1.08714,0.98247,0.94712,0.97518,0.69916,1.08803,0.40716,1.05304,0.006931,0.006931,0.006931
95,7015.55,1.0523,0.49923,1.08393,0.98131,0.94838,0.97489,0.69849,1.0816,0.40996,1.05285,0.006898,0.006898,0.006898
96,7089.16,1.03519,0.497,1.07383,0.98258,0.94701,0.97575,0.69846,1.08243,0.40846,1.05251,0.006865,0.006865,0.006865
97,7164.1,1.05955,0.5018,1.08914,0.97607,0.95028,0.97607,0.69816,1.08731,0.40516,1.05392,0.006832,0.006832,0.006832
98,7237.98,1.05385,0.49539,1.07937,0.98524,0.94537,0.97611,0.69635,1.09305,0.40573,1.05613,0.006799,0.006799,0.006799
99,7311.21,1.05398,0.49658,1.08345,0.98248,0.94774,0.97597,0.6997,1.08558,0.40335,1.0519,0.006766,0.006766,0.006766
100,7384.97,1.04835,0.49964,1.08716,0.98194,0.94387,0.97552,0.70239,1.08394,0.40247,1.05023,0.006733,0.006733,0.006733
101,7459.22,1.0501,0.49578,1.08165,0.98434,0.94775,0.97582,0.7015,1.08084,0.40451,1.04977,0.0067,0.0067,0.0067
102,7532.87,1.02606,0.4843,1.06692,0.98258,0.94884,0.97562,0.69948,1.08378,0.40402,1.05329,0.006667,0.006667,0.006667
103,7606.49,1.04237,0.49097,1.07809,0.98618,0.94472,0.97558,0.70011,1.08475,0.40254,1.05401,0.006634,0.006634,0.006634
104,7680.47,1.05101,0.49056,1.07886,0.9843,0.94493,0.97604,0.69892,1.08642,0.39986,1.05394,0.006601,0.006601,0.006601
105,7754.84,1.03979,0.49022,1.07596,0.98663,0.94396,0.97574,0.69916,1.07964,0.39977,1.05252,0.006568,0.006568,0.006568
106,7828.23,1.03677,0.48673,1.07072,0.98709,0.94427,0.97609,0.70031,1.07778,0.39734,1.05125,0.006535,0.006535,0.006535
107,7901.99,1.0346,0.48999,1.07353,0.98813,0.94518,0.97672,0.70135,1.07845,0.39735,1.05098,0.006502,0.006502,0.006502
108,7975.8,1.04049,0.49039,1.07638,0.9825,0.95112,0.97675,0.70203,1.0756,0.39509,1.04907,0.006469,0.006469,0.006469
109,8049.45,1.04654,0.4851,1.07901,0.98298,0.95003,0.97625,0.70229,1.0775,0.39519,1.04965,0.006436,0.006436,0.006436
110,8123.62,1.02725,0.48315,1.06559,0.9888,0.94427,0.97613,0.7027,1.07482,0.39392,1.0482,0.006403,0.006403,0.006403
111,8197.38,1.02787,0.4839,1.07014,0.98114,0.95249,0.97651,0.70304,1.07537,0.39334,1.04919,0.00637,0.00637,0.00637
112,8271.48,1.03865,0.48576,1.07402,0.98218,0.95203,0.97693,0.7022,1.07395,0.39443,1.04863,0.006337,0.006337,0.006337
113,8345.28,1.03826,0.48427,1.07134,0.98067,0.95009,0.97576,0.70292,1.07053,0.39396,1.04778,0.006304,0.006304,0.006304
114,8418.89,1.02488,0.48617,1.06429,0.98211,0.94929,0.97642,0.70441,1.06844,0.3924,1.04626,0.006271,0.006271,0.006271
115,8492.73,1.03658,0.4857,1.07605,0.98941,0.94427,0.97619,0.70528,1.07085,0.3909,1.04633,0.006238,0.006238,0.006238
116,8566.57,1.02552,0.4789,1.07394,0.98205,0.94987,0.97645,0.70499,1.0718,0.3912,1.04614,0.006205,0.006205,0.006205
117,8640.94,1.03147,0.47877,1.07188,0.98759,0.94509,0.97605,0.70588,1.07381,0.39035,1.04668,0.006172,0.006172,0.006172
118,8715.49,1.03753,0.48201,1.07282,0.98393,0.95119,0.97691,0.70444,1.07407,0.39014,1.04723,0.006139,0.006139,0.006139
119,8789.42,1.02224,0.47444,1.07176,0.98439,0.95043,0.97667,0.70402,1.07469,0.38986,1.04715,0.006106,0.006106,0.006106
120,8863.05,1.02897,0.48014,1.07083,0.9839,0.94944,0.97641,0.70351,1.07362,0.39071,1.04625,0.006073,0.006073,0.006073
121,8937.22,1.03016,0.47769,1.06708,0.98301,0.95129,0.97664,0.70296,1.07469,0.39101,1.04656,0.00604,0.00604,0.00604
122,9011.5,1.01721,0.47143,1.06206,0.98264,0.94975,0.97584,0.70391,1.07424,0.3907,1.04607,0.006007,0.006007,0.006007
123,9085.6,1.01788,0.47282,1.06582,0.98347,0.95021,0.97597,0.70346,1.07421,0.39045,1.04575,0.005974,0.005974,0.005974
124,9159.28,1.01604,0.47621,1.06674,0.983,0.95083,0.97583,0.70445,1.07255,0.38926,1.04469,0.005941,0.005941,0.005941
125,9234.69,1.01765,0.47675,1.06636,0.98408,0.94975,0.97615,0.7039,1.07176,0.38923,1.04394,0.005908,0.005908,0.005908
126,9308.38,1.01722,0.47293,1.06396,0.98297,0.94936,0.97573,0.70357,1.07257,0.38883,1.04368,0.005875,0.005875,0.005875
127,9382.45,1.01696,0.46479,1.07022,0.97935,0.95318,0.97576,0.70362,1.07217,0.38924,1.04338,0.005842,0.005842,0.005842
128,9456.98,1.01776,0.46897,1.06516,0.98219,0.95112,0.97567,0.70441,1.07171,0.38895,1.04365,0.005809,0.005809,0.005809
129,9531.05,1.02167,0.4704,1.06103,0.98111,0.9493,0.97553,0.7048,1.07078,0.38852,1.04337,0.005776,0.005776,0.005776
130,9605.23,1.02055,0.4695,1.06952,0.98068,0.95073,0.97557,0.70488,1.07141,0.38834,1.04349,0.005743,0.005743,0.005743
131,9678.68,1.0135,0.46256,1.05677,0.97844,0.95386,0.97557,0.70442,1.07126,0.38777,1.04359,0.00571,0.00571,0.00571
132,9752.77,1.02639,0.47403,1.06459,0.98027,0.95344,0.97587,0.70438,1.0722,0.38696,1.04375,0.005677,0.005677,0.005677
133,9826.8,1.02126,0.46981,1.06249,0.9816,0.95203,0.97561,0.7044,1.07146,0.38662,1.04376,0.005644,0.005644,0.005644
134,9901.27,1.00622,0.4609,1.0587,0.98118,0.95279,0.97582,0.70434,1.07241,0.38646,1.0443,0.005611,0.005611,0.005611
135,9974.72,1.00217,0.46217,1.06106,0.9819,0.95158,0.97605,0.70465,1.07143,0.38625,1.04382,0.005578,0.005578,0.005578
136,10048.7,1.01691,0.46669,1.06455,0.98081,0.95432,0.97631,0.70445,1.07118,0.38632,1.04354,0.005545,0.005545,0.005545
137,10122.1,1.02134,0.47328,1.07059,0.98305,0.95388,0.97681,0.70511,1.07071,0.3856,1.04372,0.005512,0.005512,0.005512
138,10196.5,1.00218,0.45803,1.05547,0.9836,0.95477,0.97713,0.70575,1.0709,0.38556,1.04362,0.005479,0.005479,0.005479
139,10271,1.00615,0.46227,1.05998,0.98306,0.95413,0.9773,0.70556,1.07136,0.38417,1.04404,0.005446,0.005446,0.005446
140,10345.6,1.00071,0.45898,1.05929,0.9835,0.95312,0.9767,0.70649,1.07125,0.38464,1.04376,0.005413,0.005413,0.005413
141,10420,1.00459,0.46138,1.05894,0.98397,0.9533,0.97662,0.70623,1.07206,0.38503,1.04403,0.00538,0.00538,0.00538
142,10494.2,1.01128,0.46175,1.05946,0.9854,0.95477,0.97777,0.70702,1.07171,0.38479,1.04453,0.005347,0.005347,0.005347
143,10568.1,1.00506,0.45958,1.05768,0.9835,0.95321,0.97651,0.70698,1.0713,0.38423,1.04472,0.005314,0.005314,0.005314
144,10642.3,1.01508,0.46315,1.06166,0.98275,0.95249,0.97633,0.70651,1.07086,0.38388,1.04461,0.005281,0.005281,0.005281
145,10715.8,1.01572,0.46425,1.06045,0.98309,0.95386,0.97685,0.70622,1.07034,0.38364,1.04423,0.005248,0.005248,0.005248
146,10789.5,1.00785,0.46439,1.06642,0.98265,0.9534,0.9765,0.70509,1.07117,0.38373,1.04448,0.005215,0.005215,0.005215
147,10863.3,1.00248,0.45683,1.05391,0.9824,0.95295,0.97666,0.70543,1.07051,0.38341,1.04436,0.005182,0.005182,0.005182
148,10937.1,0.99148,0.45752,1.05887,0.98276,0.95249,0.97668,0.70564,1.07068,0.38325,1.04454,0.005149,0.005149,0.005149
149,11011.2,1.01247,0.46337,1.0607,0.98395,0.95247,0.97674,0.70616,1.07096,0.38343,1.04455,0.005116,0.005116,0.005116
150,11086.4,0.99727,0.45161,1.05691,0.98422,0.95158,0.9769,0.7058,1.07183,0.38322,1.0448,0.005083,0.005083,0.005083
151,11161.2,0.98985,0.45437,1.05378,0.98593,0.95158,0.97688,0.70525,1.07149,0.38219,1.04473,0.00505,0.00505,0.00505
152,11235.5,0.99753,0.45747,1.05833,0.98585,0.95158,0.97682,0.70555,1.07157,0.38216,1.04474,0.005017,0.005017,0.005017
153,11310.7,0.99355,0.45486,1.05597,0.98556,0.95112,0.97686,0.70551,1.07198,0.38163,1.04496,0.004984,0.004984,0.004984
154,11384.7,1.00447,0.45701,1.06181,0.98547,0.95112,0.97692,0.70552,1.07161,0.38134,1.04513,0.004951,0.004951,0.004951
155,11459.6,0.97834,0.4486,1.04841,0.98532,0.95158,0.97701,0.70602,1.07122,0.38132,1.0449,0.004918,0.004918,0.004918
156,11534.3,1,0.45343,1.05746,0.98579,0.95076,0.97703,0.70581,1.07107,0.38067,1.0447,0.004885,0.004885,0.004885
157,11609.1,0.99631,0.45175,1.05858,0.98625,0.95035,0.97663,0.70564,1.07036,0.38108,1.04457,0.004852,0.004852,0.004852
158,11682.7,0.98747,0.44837,1.05395,0.9862,0.95021,0.97694,0.70552,1.07148,0.3812,1.04476,0.004819,0.004819,0.004819
159,11756.6,0.98551,0.44857,1.04416,0.98578,0.95005,0.9767,0.70542,1.07134,0.38099,1.04469,0.004786,0.004786,0.004786
160,11831.6,0.99636,0.45536,1.05155,0.98578,0.94983,0.9768,0.70659,1.07148,0.38101,1.04483,0.004753,0.004753,0.004753
161,11905.6,0.99398,0.44506,1.05084,0.98578,0.9501,0.97675,0.70652,1.07105,0.38071,1.04468,0.00472,0.00472,0.00472
162,11979.3,0.98477,0.44525,1.04549,0.98578,0.94994,0.97672,0.70656,1.07105,0.38108,1.04472,0.004687,0.004687,0.004687
163,12054.1,0.98831,0.45157,1.04827,0.9858,0.94975,0.97674,0.70667,1.0713,0.38085,1.0448,0.004654,0.004654,0.004654
164,12127.8,0.98339,0.44646,1.04527,0.98577,0.94972,0.97658,0.70664,1.07135,0.38071,1.04485,0.004621,0.004621,0.004621
165,12204.2,0.99966,0.44697,1.05262,0.98624,0.94953,0.97659,0.70659,1.07139,0.38074,1.04497,0.004588,0.004588,0.004588
166,12278.3,0.9854,0.44487,1.04756,0.98587,0.94975,0.97656,0.70706,1.0711,0.38086,1.045,0.004555,0.004555,0.004555
167,12352.3,0.9895,0.4506,1.04759,0.98719,0.9503,0.97706,0.70666,1.07141,0.38063,1.04496,0.004522,0.004522,0.004522
168,12427,0.98114,0.44087,1.04542,0.98702,0.95066,0.97708,0.70661,1.07155,0.38031,1.04499,0.004489,0.004489,0.004489
169,12502,0.98404,0.43731,1.04761,0.98578,0.94998,0.97655,0.7064,1.07177,0.3802,1.045,0.004456,0.004456,0.004456
170,12576.7,0.98004,0.4517,1.05039,0.9853,0.95112,0.97711,0.70571,1.07167,0.38018,1.04502,0.004423,0.004423,0.004423
