Model,Size_MB,mAP50-95,Latency_ms_im,FPS
YOLO11n,5.2,0.639,15.35,65.13
YOLOv10n,5.5,0.64,14.03,71.27
YOLOv5u,5.0,0.632,13.87,72.12
YOLOv8n,6.0,0.64,13.09,76.37
GhostYOLO,3.7,0.598,18.68,53.52
