Model,Parameters_M,GFLOPs,Size_MB,mAP50-95,Latency_ms_im,FPS,FPS_per_GFLOP,mAP_per_GFLOP,Efficiency_Score,Architecture,Backbone,Anchor_Based
YOLO11n,2.6,6.5,5.2,0.639,15.35,65.13,10.02,0.098,2.463,Anchor-free detector,CSPDarknet53 + C3k2,False
YOLOv10n,2.3,6.7,5.5,0.64,14.03,71.27,10.637,0.096,2.961,NMS-free detector,CSPDarknet53 + C2fCIB,False
YOLOv5u,7.0,15.8,5.0,0.632,13.87,72.12,4.565,0.04,0.412,One-stage detector,CSPDarknet53,True
YOLOv8n,3.2,8.7,6.0,0.64,13.09,76.37,8.778,0.074,1.756,Anchor-free detector,CSPDarknet53 + C2f,False
GhostYOLO,2.6,6.6,3.7,0.598,18.68,53.52,8.109,0.091,1.864,Anchor-free detector,CSPDarknet53 + C3Ghost,False
