Model,mAP50-95,Latency_ms_im,FPS
YOLO11n,0.628,3.2,312.13
YOLOv10n,0.63,2.74,364.66
YOLOv5u,0.618,2.59,386.43
YOLOv8n,0.632,2.97,336.35
GhostYOLO,0.591,3.26,306.22
