epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,3602.74,2.28589,1.06362,2.28697,0.96374,0.91457,0.96451,0.66974,2.33775,0.85892,2.20798,0.008614,0.008614,0.008614
44,3686.12,2.28783,1.0418,2.30547,0.94763,0.91731,0.96293,0.66824,2.32171,0.84957,2.17083,0.008581,0.008581,0.008581
45,3768.9,2.31773,1.03144,2.31063,0.9723,0.91416,0.96245,0.67988,2.27854,0.84172,2.18871,0.008548,0.008548,0.008548
46,3850.98,2.28251,1.01685,2.29184,0.96414,0.91366,0.96346,0.67421,2.29595,0.85509,2.19868,0.008515,0.008515,0.008515
47,3933.55,2.25828,1.04483,2.30275,0.96189,0.91094,0.96366,0.6708,2.29831,0.86569,2.19349,0.008482,0.008482,0.008482
48,4017.31,2.24514,1.02726,2.28665,0.94586,0.90979,0.95817,0.65757,2.33039,0.86696,2.198,0.008449,0.008449,0.008449
49,4102.03,2.27467,1.03368,2.29246,0.96058,0.90169,0.96195,0.66895,2.33299,0.86141,2.20006,0.008416,0.008416,0.008416
50,4185.14,2.28678,1.02198,2.30086,0.9535,0.91799,0.96113,0.66993,2.30254,0.83006,2.19213,0.008383,0.008383,0.008383
51,4268.62,2.29147,1.03665,2.31588,0.96468,0.91503,0.96467,0.67441,2.27845,0.8574,2.1918,0.00835,0.00835,0.00835
52,4351.86,2.26183,1.01037,2.2884,0.96913,0.91788,0.96671,0.67907,2.30578,0.81911,2.18933,0.008317,0.008317,0.008317
53,4435.28,2.25193,0.99881,2.28213,0.96211,0.92462,0.96737,0.67297,2.2697,0.82906,2.1495,0.008284,0.008284,0.008284
54,4518.72,2.24998,1.00185,2.2713,0.96634,0.91796,0.96535,0.67647,2.30429,0.83183,2.19899,0.008251,0.008251,0.008251
55,4602.31,2.28069,1.02421,2.3,0.9599,0.92554,0.96572,0.67091,2.28482,0.81944,2.17616,0.008218,0.008218,0.008218
56,4685.74,2.25278,0.99582,2.25681,0.95705,0.92637,0.96849,0.68323,2.26829,0.81303,2.16551,0.008185,0.008185,0.008185
57,4768.09,2.25453,0.98895,2.27766,0.96082,0.92599,0.9654,0.66891,2.31988,0.8092,2.182,0.008152,0.008152,0.008152
58,4852.03,2.23445,0.99807,2.28012,0.96103,0.92736,0.96986,0.67079,2.31986,0.82955,2.2143,0.008119,0.008119,0.008119
59,4935.28,2.26801,1.01241,2.28213,0.97254,0.92222,0.96741,0.6774,2.28031,0.79778,2.17149,0.008086,0.008086,0.008086
60,5018.21,2.22799,0.97754,2.26278,0.95389,0.93102,0.96959,0.6796,2.28403,0.79967,2.16912,0.008053,0.008053,0.008053
61,5101.53,2.20681,0.97827,2.25732,0.94696,0.92979,0.96964,0.68969,2.24485,0.81254,2.15954,0.00802,0.00802,0.00802
62,5184.14,2.21438,0.97148,2.2644,0.96472,0.92447,0.9658,0.67574,2.27773,0.80153,2.17033,0.007987,0.007987,0.007987
63,5267.77,2.21387,0.96306,2.25457,0.9702,0.92873,0.96844,0.67926,2.31929,0.80392,2.16935,0.007954,0.007954,0.007954
64,5350.49,2.25033,1.00246,2.29032,0.97922,0.92462,0.96885,0.6818,2.2793,0.78738,2.16386,0.007921,0.007921,0.007921
65,5433.68,2.25343,0.99484,2.27672,0.96477,0.92599,0.96787,0.67924,2.2716,0.79873,2.17031,0.007888,0.007888,0.007888
66,5517.86,2.21801,0.97584,2.25928,0.97616,0.91503,0.96858,0.68116,2.26031,0.7951,2.15376,0.007855,0.007855,0.007855
67,5599.67,2.20226,0.96889,2.26804,0.9738,0.92188,0.96875,0.69163,2.23003,0.7784,2.14439,0.007822,0.007822,0.007822
68,5681.1,2.19533,0.97261,2.2656,0.98021,0.91686,0.97152,0.69156,2.26284,0.7762,2.16049,0.007789,0.007789,0.007789
69,5764.25,2.21995,0.96272,2.2697,0.97153,0.91966,0.9692,0.68828,2.24853,0.77509,2.15213,0.007756,0.007756,0.007756
70,5847.43,2.22019,0.97661,2.24436,0.97683,0.9243,0.97038,0.67952,2.30585,0.77858,2.16433,0.007723,0.007723,0.007723
71,5930.1,2.19981,0.9739,2.26294,0.97011,0.93404,0.97265,0.68611,2.23915,0.76334,2.15804,0.00769,0.00769,0.00769
72,6013.07,2.19306,0.94435,2.25201,0.96946,0.92554,0.97136,0.68493,2.23396,0.77798,2.1533,0.007657,0.007657,0.007657
73,6097,2.22348,0.96794,2.27081,0.97297,0.92965,0.97217,0.69316,2.22143,0.77451,2.14578,0.007624,0.007624,0.007624
74,6179.99,2.21315,0.98884,2.25699,0.9784,0.93101,0.97179,0.69382,2.22785,0.76297,2.13951,0.007591,0.007591,0.007591
75,6262.88,2.17304,0.95789,2.23395,0.97694,0.9289,0.97192,0.69268,2.22067,0.76639,2.13609,0.007558,0.007558,0.007558
76,6345.25,2.19034,0.98451,2.24596,0.98218,0.92325,0.97228,0.69194,2.22859,0.76153,2.13818,0.007525,0.007525,0.007525
