Model,Size_MB,mAP50-95,Latency_ms_im,FPS
YOLO11n,5.2,0.722,13.09,76.39
YOLOv10n,5.5,0.72,13.78,72.59
YOLOv5u,5.1,0.712,11.12,89.89
YOLOv8n,6.0,0.718,10.51,95.12
