OCR_Engine,Plate_Accuracy,Character_Error_Rate,Precision,Recall,F1_Score,Avg_Latency_ms,Median_Latency_ms,Min_Latency_ms,Max_Latency_ms,Throughput_plates_sec,Total_Samples,Correct_Detections,Total_Characters,Correct_Characters,Insertion_Errors,Deletion_Errors,Substitution_Errors,Character_Accuracy,Efficiency_Score
Fast-Plate-OCR,0.6755,0.0711,0.6755,0.6755,0.6755,3.25,3.0,2.5,41.7,307.73,1652,1116,13229,12277,305,9,638,0.928,0.2078
PPOCRv5,0.9053,0.0229,0.9053,0.9053,0.9053,13.29,12.0,9.6,406.5,75.23,1636,1481,13103,12805,63,20,215,0.9773,0.0681
